category,A,B,C,D,E,F,G,H,I,J
Behavior,0.149,0.141,0.166,0.112,0.11,0.069,0.109,0.099,0.132,0.086
Cognitive Capacity,0.124,0.091,0.093,0.128,0.097,0.105,0.1,0.102,0.133,0.145
Deep Phenotyping Assessments,0.14,0.133,0.163,0.108,0.121,0.092,0.091,0.099,0.1,0.088
Demographics,0.15,0.128,0.149,0.13,0.174,0.176,0.09,0.093,0.124,0.086
Diagnostic (KSADS),0.141,0.149,0.15,0.14,0.121,0.091,0.086,0.112,0.115,0.109
Extracurricular,0.119,0.11,0.102,0.077,0.124,0.078,0.082,0.071,0.111,0.084
Impulsivity,0.134,0.122,0.11,0.122,0.124,0.071,0.108,0.131,0.129,0.0
Life Events,0.149,0.12,0.238,0.079,0.0,0.098,0.132,0.126,0.0,0.109
Mania,0.133,0.0,0.0,0.0,0.116,0.088,0.0,0.0,0.0,0.0
Medical History,0.12,0.103,0.139,0.082,0.117,0.083,0.085,0.083,0.103,0.126
Medications,0.117,0.061,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mental Health Summary,0.223,0.0,0.181,0.0,0.177,0.0,0.0,0.184,0.0,0.191
Neuropsychological Tests,0.211,0.308,0.298,0.282,0.204,0.278,0.256,0.285,0.205,0.274
Nutrition,0.065,0.0,0.243,0.134,0.145,0.0,0.0,0.104,0.157,0.0
Parent Characteristics,0.112,0.157,0.165,0.079,0.132,0.0,0.091,0.093,0.117,0.091
Physical Exam,0.0,0.112,0.075,0.091,0.15,0.0,0.069,0.0,0.113,0.0
Pubertal Development,0.105,0.118,0.237,0.091,0.136,0.069,0.113,0.099,0.0,0.12
Sleep,0.129,0.121,0.236,0.091,0.14,0.079,0.113,0.119,0.107,0.0
Social Adjustment,0.148,0.152,0.147,0.11,0.171,0.094,0.092,0.115,0.137,0.106
Social Responsiveness,0.169,0.118,0.25,0.111,0.168,0.0,0.0,0.0,0.153,0.0
Socioeconomic,0.404,0.248,0.114,0.199,0.343,0.115,0.103,0.0,0.188,0.0
Substance Use,0.126,0.115,0.148,0.124,0.122,0.143,0.092,0.099,0.101,0.088
Trauma,0.0,0.087,0.238,0.0,0.0,0.0,0.0,0.071,0.0,0.0
