,description,category
"('sex_official', '')_F",Sex of subject at birth,Demographics
"('sex_official', '')_M",Sex of subject at birth,Demographics
"('ethnicity', '')_1.0",Race Ethnicity (Child),Socioeconomic
"('ethnicity', '')_2.0",Race Ethnicity (Child),Socioeconomic
"('ethnicity', '')_3.0",Race Ethnicity (Child),Socioeconomic
"('ethnicity', '')_4.0",Race Ethnicity (Child),Socioeconomic
"('ethnicity', '')_5.0",Race Ethnicity (Child),Socioeconomic
"('site', '')_site01",Site ID at each event,Demographics
"('site', '')_site02",Site ID at each event,Demographics
"('site', '')_site03",Site ID at each event,Demographics
"('site', '')_site04",Site ID at each event,Demographics
"('site', '')_site05",Site ID at each event,Demographics
"('site', '')_site06",Site ID at each event,Demographics
"('site', '')_site07",Site ID at each event,Demographics
"('site', '')_site08",Site ID at each event,Demographics
"('site', '')_site09",Site ID at each event,Demographics
"('site', '')_site10",Site ID at each event,Demographics
"('site', '')_site11",Site ID at each event,Demographics
"('site', '')_site12",Site ID at each event,Demographics
"('site', '')_site13",Site ID at each event,Demographics
"('site', '')_site14",Site ID at each event,Demographics
"('site', '')_site15",Site ID at each event,Demographics
"('site', '')_site16",Site ID at each event,Demographics
"('site', '')_site17",Site ID at each event,Demographics
"('site', '')_site18",Site ID at each event,Demographics
"('site', '')_site19",Site ID at each event,Demographics
"('site', '')_site20",Site ID at each event,Demographics
"('site', '')_site21",Site ID at each event,Demographics
"('interview_age', '1_year_follow_up_y_arm_1')",,Demographics
"('interview_age', '6_month_follow_up_arm_1')",,Demographics
"('interview_age', 'baseline_year_1_arm_1')",,Demographics
"('interview_age', 'screener_arm_1')",,Demographics
"('pgbi_p_ss_score', '1_year_follow_up_y_arm_1')",,Mental Health Summary
"('pgbi_p_ss_score', 'baseline_year_1_arm_1')",,Mental Health Summary
"('ple_p_ss_total_number', '1_year_follow_up_y_arm_1')",,Mental Health Summary
"('ple_p_ss_total_good', '1_year_follow_up_y_arm_1')",,Mental Health Summary
"('ple_p_ss_total_bad', '1_year_follow_up_y_arm_1')",,Mental Health Summary
"('ple_p_ss_affected_bad_sum', '1_year_follow_up_y_arm_1')",,Mental Health Summary
"('ple_p_ss_affected_mean', '1_year_follow_up_y_arm_1')",,Mental Health Summary
"('ple_p_ss_affect_sum', '1_year_follow_up_y_arm_1')",,Mental Health Summary
"('ssrs_p_ss_sum', '1_year_follow_up_y_arm_1')",,Mental Health Summary
"('gish_p_ss_m_sum_nm', '1_year_follow_up_y_arm_1')",,Mental Health Summary
"('sds_p_ss_dims', '1_year_follow_up_y_arm_1')",,Medical History
"('sds_p_ss_dims', 'baseline_year_1_arm_1')",,Medical History
"('sds_p_ss_sbd', '1_year_follow_up_y_arm_1')",,Medical History
"('sds_p_ss_sbd', 'baseline_year_1_arm_1')",,Medical History
"('sds_p_ss_da', '1_year_follow_up_y_arm_1')",,Medical History
"('sds_p_ss_da', 'baseline_year_1_arm_1')",,Medical History
"('sds_p_ss_swtd', '1_year_follow_up_y_arm_1')",,Medical History
"('sds_p_ss_swtd', 'baseline_year_1_arm_1')",,Medical History
"('sds_p_ss_does', '1_year_follow_up_y_arm_1')",,Medical History
"('sds_p_ss_does', 'baseline_year_1_arm_1')",,Medical History
"('sds_p_ss_total', '1_year_follow_up_y_arm_1')",,Medical History
"('sds_p_ss_total', 'baseline_year_1_arm_1')",,Medical History
"('cna_p_ss_sum', '1_year_follow_up_y_arm_1')",,Medical History
"('cna_p_ss_sum_nm', '1_year_follow_up_y_arm_1')",,Medical History
"('demo_roster_v2_l', '1_year_follow_up_y_arm_1')",,Demographics
"('lmt_scr_num_correct', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('lmt_scr_num_wrong', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('lmt_scr_num_timed_out', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('pea_ravlt_sd_trial_i_tc', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_ravlt_sd_trial_i_tr', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_ravlt_sd_trial_i_ti', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_ravlt_sd_trial_ii_tc', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_ravlt_sd_trial_ii_tr', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_ravlt_sd_trial_ii_ti', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_ravlt_sd_trial_iii_tc', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_ravlt_sd_trial_iii_tr', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_ravlt_sd_trial_iii_ti', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_ravlt_sd_trial_iv_tc', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_ravlt_sd_trial_iv_tr', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_ravlt_sd_trial_iv_ti', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_ravlt_sd_trial_v_tc', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_ravlt_sd_trial_v_tr', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_ravlt_sd_trial_v_ti', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_ravlt_sd_listb_tc', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_ravlt_sd_listb_tr', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_ravlt_sd_listb_ti', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_ravlt_sd_trial_vi_tc', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_ravlt_sd_trial_vi_tr', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_ravlt_sd_trial_vi_ti', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_ravlt_ld_trial_vii_tc', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_ravlt_ld_trial_vii_tr', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_ravlt_ld_trial_vii_ti', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_wiscv_trs', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('pea_wiscv_tss', 'baseline_year_1_arm_1')",,Cognitive Capacity
"('devhx_ss_9_alcohol_avg_p', 'baseline_year_1_arm_1')",,Medical History
"('ple_y_ss_total_number', '1_year_follow_up_y_arm_1')",,Mental Health Summary
"('ple_y_ss_total_good', '1_year_follow_up_y_arm_1')",,Mental Health Summary
"('ple_y_ss_total_bad', '1_year_follow_up_y_arm_1')",,Mental Health Summary
"('ple_y_ss_affect_sum', '1_year_follow_up_y_arm_1')",,Mental Health Summary
"('ple_y_ss_affected_good_sum', '1_year_follow_up_y_arm_1')",,Mental Health Summary
"('ple_y_ss_affected_bad_sum', '1_year_follow_up_y_arm_1')",,Mental Health Summary
"('pps_y_ss_number', '1_year_follow_up_y_arm_1')",,Mental Health Summary
"('pps_y_ss_number', 'baseline_year_1_arm_1')",,Mental Health Summary
"('pps_y_ss_bother_sum_nm', '1_year_follow_up_y_arm_1')",,Mental Health Summary
"('pps_y_ss_bother_sum_nm', 'baseline_year_1_arm_1')",,Mental Health Summary
"('pps_y_ss_bother_n_1_nm', '1_year_follow_up_y_arm_1')",,Mental Health Summary
"('pps_y_ss_bother_n_1_nm', 'baseline_year_1_arm_1')",,Mental Health Summary
"('pps_y_ss_severity_score', '1_year_follow_up_y_arm_1')",,Mental Health Summary
"('pps_y_ss_severity_score', 'baseline_year_1_arm_1')",,Mental Health Summary
"('pps_y_ss_severity_score_nm', '1_year_follow_up_y_arm_1')",,Mental Health Summary
"('pps_y_ss_severity_score_nm', 'baseline_year_1_arm_1')",,Mental Health Summary
"('upps_y_ss_negative_urgency', 'baseline_year_1_arm_1')",,Mental Health Summary
"('upps_y_ss_lack_of_planning', 'baseline_year_1_arm_1')",,Mental Health Summary
"('upps_y_ss_sensation_seeking', 'baseline_year_1_arm_1')",,Mental Health Summary
"('upps_y_ss_positive_urgency', 'baseline_year_1_arm_1')",,Mental Health Summary
"('upps_y_ss_lack_of_perseverance', 'baseline_year_1_arm_1')",,Mental Health Summary
"('bis_y_ss_bis_sum', 'baseline_year_1_arm_1')",,Mental Health Summary
"('bis_y_ss_bas_rr', 'baseline_year_1_arm_1')",,Mental Health Summary
"('bis_y_ss_bas_drive', 'baseline_year_1_arm_1')",,Mental Health Summary
"('bis_y_ss_bas_fs', 'baseline_year_1_arm_1')",,Mental Health Summary
"('bis_y_ss_bism_sum', 'baseline_year_1_arm_1')",,Mental Health Summary
"('bis_y_ss_basm_rr', 'baseline_year_1_arm_1')",,Mental Health Summary
"('bis_y_ss_basm_drive', 'baseline_year_1_arm_1')",,Mental Health Summary
"('sup_y_ss_sum', '1_year_follow_up_y_arm_1')",,Mental Health Summary
"('cbcl_scr_syn_anxdep_t', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_syn_anxdep_t', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_syn_withdep_r', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_syn_withdep_r', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_syn_withdep_t', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_syn_withdep_t', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_syn_somatic_r', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_syn_somatic_r', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_syn_somatic_t', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_syn_somatic_t', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_syn_social_r', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_syn_social_r', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_syn_social_t', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_syn_social_t', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_syn_thought_r', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_syn_thought_r', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_syn_thought_t', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_syn_thought_t', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_syn_attention_r', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_syn_attention_r', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_syn_attention_t', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_syn_attention_t', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_syn_rulebreak_r', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_syn_rulebreak_r', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_syn_rulebreak_t', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_syn_rulebreak_t', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_syn_aggressive_r', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_syn_aggressive_r', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_syn_aggressive_t', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_syn_aggressive_t', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_syn_internal_r', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_syn_internal_r', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_syn_internal_t', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_syn_internal_t', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_syn_external_r', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_syn_external_r', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_syn_external_t', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_syn_external_t', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_syn_totprob_r', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_syn_totprob_r', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_syn_totprob_t', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_syn_totprob_t', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_dsm5_depress_r', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_dsm5_depress_r', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_dsm5_depress_t', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_dsm5_depress_t', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_dsm5_anxdisord_r', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_dsm5_anxdisord_r', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_dsm5_anxdisord_t', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_dsm5_anxdisord_t', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_dsm5_somaticpr_r', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_dsm5_somaticpr_r', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_dsm5_somaticpr_t', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_dsm5_somaticpr_t', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_dsm5_adhd_r', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_dsm5_adhd_r', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_dsm5_adhd_t', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_dsm5_adhd_t', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_dsm5_opposit_r', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_dsm5_opposit_r', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_dsm5_opposit_t', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_dsm5_opposit_t', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_dsm5_conduct_r', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_dsm5_conduct_r', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_dsm5_conduct_t', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_dsm5_conduct_t', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_07_sct_t', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_07_sct_t', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_07_ocd_r', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_07_ocd_r', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_07_ocd_t', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_07_ocd_t', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_07_stress_r', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_07_stress_r', 'baseline_year_1_arm_1')",,Behavior
"('cbcl_scr_07_stress_t', '1_year_follow_up_y_arm_1')",,Behavior
"('cbcl_scr_07_stress_t', 'baseline_year_1_arm_1')",,Behavior
"('sai_ss_lmusic_years_p', 'baseline_year_1_arm_1')",,Extracurricular
"('sai_ss_lmusic_hours_p', 'baseline_year_1_arm_1')",,Extracurricular
"('sai_ss_read_years_p', 'baseline_year_1_arm_1')",,Extracurricular
"('sai_ss_read_hours_p', 'baseline_year_1_arm_1')",,Extracurricular
"('srpf_y_ss_ses', '1_year_follow_up_y_arm_1')",,Social Adjustment
"('srpf_y_ss_ses', 'baseline_year_1_arm_1')",,Social Adjustment
"('srpf_y_ss_iiss', '1_year_follow_up_y_arm_1')",,Social Adjustment
"('srpf_y_ss_iiss', 'baseline_year_1_arm_1')",,Social Adjustment
"('wps_ss_sum', '1_year_follow_up_y_arm_1')",,Social Adjustment
"('medhx_ss_6b_times_p', 'baseline_year_1_arm_1')",,Medical History
"('medhx_ss_6c_times_p', 'baseline_year_1_arm_1')",,Medical History
"('medhx_ss_6f_times_p', 'baseline_year_1_arm_1')",,Medical History
"('medhx_ss_6h_times_p', 'baseline_year_1_arm_1')",,Medical History
"('medhx_ss_6l_times_p', 'baseline_year_1_arm_1')",,Medical History
"('medhx_ss_6p_times_p', 'baseline_year_1_arm_1')",,Medical History
"('tfmri_nb_all_beh_ctotal_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_all_beh_c2b_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r1_beh_c2b_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r2_beh_c2b_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_all_beh_cpf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r1_beh_cpf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r2_beh_cpf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_all_beh_c2bpf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r1_beh_c2bpf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
"('tfmri_nb_r2_beh_c2bpf_nt', 'baseline_year_1_arm_1')",,Neuropsychological Tests
