,Latent_Dim30,category,description
"('reshist_addr1_coi_zse_ecres', 'baseline_year_1_arm_1')",-0.5891276223780298,Socioeconomic,
"('reshist_addr1_coi_z_coi_nat', 'baseline_year_1_arm_1')",-0.5701879089901555,Socioeconomic,
"('reshist_addr1_coi_z_se_nat', 'baseline_year_1_arm_1')",-0.5657409525937421,Socioeconomic,
"('reshist_addr1_adi_b138', 'baseline_year_1_arm_1')",0.5640158446298188,Socioeconomic,
"('reshist_addr1_coi_se_public', 'baseline_year_1_arm_1')",0.5573414537640123,Socioeconomic,
"('reshist_addr1_leadrisk_poverty', 'baseline_year_1_arm_1')",0.5557487309397398,Socioeconomic,
"('reshist_addr1_coi_zse_povrate', 'baseline_year_1_arm_1')",-0.5556515805281043,Socioeconomic,
"('reshist_addr1_adi_income', 'baseline_year_1_arm_1')",-0.5515534223326779,Socioeconomic,
"('reshist_addr1_coi_se_povrate', 'baseline_year_1_arm_1')",0.5513582981758113,Socioeconomic,
"('reshist_addr1_coi_r_coi_stt', 'baseline_year_1_arm_1')",-0.5483338203834462,Socioeconomic,
"('reshist_addr1_svi_th1_20142018', 'baseline_year_1_arm_1')",0.5475249902190841,Socioeconomic,
"('reshist_addr1_coi_r_coi_nat', 'baseline_year_1_arm_1')",-0.5464819655575524,Socioeconomic,
"('reshist_addr1_svi_cap_20142018', 'baseline_year_1_arm_1')",0.5448006747967797,Socioeconomic,
"('reshist_addr1_coi_zse_public', 'baseline_year_1_arm_1')",-0.5404295156612028,Socioeconomic,
"('reshist_addr1_coi_r_se_nat', 'baseline_year_1_arm_1')",-0.5395591998162993,Socioeconomic,
"('reshist_addr1_opat_kfrpp_avg', 'baseline_year_1_arm_1')",-0.5348777828126217,Socioeconomic,
"('reshist_addr1_svi_pov_20142018', 'baseline_year_1_arm_1')",0.5339839762206603,Socioeconomic,
"('reshist_addr1_coi_c5_coi_nat', 'baseline_year_1_arm_1')",-0.5337506665066396,Socioeconomic,
"('reshist_addr1_coi_se_mhe', 'baseline_year_1_arm_1')",-0.5335305586809915,Socioeconomic,
"('reshist_addr1_coi_zse_mhe', 'baseline_year_1_arm_1')",-0.5324002640722209,Socioeconomic,
"('reshist_addr1_coi_c5_se_nat', 'baseline_year_1_arm_1')",-0.5311477476529349,Socioeconomic,
"('reshist_addr1_adi_pov', 'baseline_year_1_arm_1')",0.5299859354073742,Socioeconomic,
"('reshist_addr1_coi_c5_se_stt', 'baseline_year_1_arm_1')",-0.5247492627776074,Socioeconomic,
"('reshist_addr1_coi_r_se_stt', 'baseline_year_1_arm_1')",-0.5205966184533272,Socioeconomic,
"('reshist_addr1_coi_c5_coi_stt', 'baseline_year_1_arm_1')",-0.5151144978843342,Socioeconomic,
"('reshist_addr1_coi_zse_single', 'baseline_year_1_arm_1')",-0.5128582505579893,Socioeconomic,
"('reshist_addr1_adi_sp', 'baseline_year_1_arm_1')",0.5094639044178004,Socioeconomic,
"('reshist_addr1_adi_perc', 'baseline_year_1_arm_1')",0.509445053392279,Socioeconomic,
"('reshist_addr1_svi_tot_20142018', 'baseline_year_1_arm_1')",0.5076993218482585,Socioeconomic,
"('reshist_addr1_adi_in_dis', 'baseline_year_1_arm_1')",0.5070496243821678,Socioeconomic,
"('reshist_addr1_coi_ed_attain', 'baseline_year_1_arm_1')",-0.5001361953111421,Socioeconomic,
"('reshist_addr1_coi_se_single', 'baseline_year_1_arm_1')",0.49855218079860786,Socioeconomic,
"('reshist_addr1_coi_zse_occ', 'baseline_year_1_arm_1')",-0.4977507349307189,Socioeconomic,
"('reshist_addr1_coi_se_occ', 'baseline_year_1_arm_1')",-0.49563083067050406,Socioeconomic,
"('reshist_addr1_coi_zed_attain', 'baseline_year_1_arm_1')",-0.4907212746241832,Socioeconomic,
"('reshist_addr1_opat_kfrpp_p50', 'baseline_year_1_arm_1')",-0.4769766228367841,Socioeconomic,
"('reshist_addr1_coi_c5_ed_stt', 'baseline_year_1_arm_1')",-0.47141373235883227,Socioeconomic,
"('reshist_addr1_coi_r_ed_nat', 'baseline_year_1_arm_1')",-0.46993499375854464,Socioeconomic,
"('reshist_addr1_coi_z_ed_nat', 'baseline_year_1_arm_1')",-0.46679881054481664,Socioeconomic,
"('reshist_addr1_adi_wsum', 'baseline_year_1_arm_1')",0.4666206317242219,Socioeconomic,
"('reshist_addr1_opat_kfrpp_p25', 'baseline_year_1_arm_1')",-0.460796582805881,Socioeconomic,
"('reshist_addr1_coi_r_ed_stt', 'baseline_year_1_arm_1')",-0.4600445005184283,Socioeconomic,
"('reshist_addr1_svi_hs_20142018', 'baseline_year_1_arm_1')",0.4596681108406906,Socioeconomic,
"('reshist_addr1_coi_zed_schpov', 'baseline_year_1_arm_1')",-0.4581503091249506,Socioeconomic,
"('reshist_addr1_adi_mortg', 'baseline_year_1_arm_1')",-0.4456200495722394,Socioeconomic,
"('reshist_addr1_adi_unemp', 'baseline_year_1_arm_1')",0.4455007480954031,Socioeconomic,
"('reshist_addr1_adi_rent', 'baseline_year_1_arm_1')",-0.4434229599024416,Socioeconomic,
"('reshist_addr1_coi_ed_schpov', 'baseline_year_1_arm_1')",0.44329315898066757,Socioeconomic,
"('reshist_addr1_coi_c5_ed_nat', 'baseline_year_1_arm_1')",-0.44097705701445944,Socioeconomic,
"('reshist_addr1_opat_kfrpp_p1', 'baseline_year_1_arm_1')",-0.43763731223576935,Socioeconomic,
"('reshist_addr1_coi_r_he_nat', 'baseline_year_1_arm_1')",-0.4358333265281144,Socioeconomic,
"('reshist_addr1_adi_ncar', 'baseline_year_1_arm_1')",0.4338873850018283,Socioeconomic,
"('reshist_addr1_adi_home_v', 'baseline_year_1_arm_1')",-0.4336003230695887,Socioeconomic,
"('reshist_addr1_svi_th2_20142018', 'baseline_year_1_arm_1')",0.43208233090329035,Socioeconomic,
"('reshist_addr1_coi_zed_math', 'baseline_year_1_arm_1')",-0.4302276490285644,Socioeconomic,
"('reshist_addr1_svi_sin_20142018', 'baseline_year_1_arm_1')",0.4299189463627027,Socioeconomic,
"('reshist_addr1_coi_z_he_nat', 'baseline_year_1_arm_1')",-0.42829605118671477,Socioeconomic,
"('reshist_addr1_opat_kfrpp_p75', 'baseline_year_1_arm_1')",-0.42790830561502385,Socioeconomic,
"('reshist_addr1_svi_dis_20142018', 'baseline_year_1_arm_1')",0.41975322076707533,Socioeconomic,
"('reshist_addr1_coi_ed_math', 'baseline_year_1_arm_1')",-0.4191143058855603,Socioeconomic,
"('reshist_addr1_adi_edu_h', 'baseline_year_1_arm_1')",-0.4164775317150541,Socioeconomic,
"('reshist_addr1_coi_c5_he_nat', 'baseline_year_1_arm_1')",-0.41523965276072117,Socioeconomic,
"('reshist_addr1_coi_r_he_stt', 'baseline_year_1_arm_1')",-0.41123811648011854,Socioeconomic,
"('reshist_addr1_coi_zse_emprat', 'baseline_year_1_arm_1')",-0.4108277135773983,Socioeconomic,
"('reshist_addr1_coi_zed_reading', 'baseline_year_1_arm_1')",-0.40867211726608943,Socioeconomic,
"('reshist_addr1_coi_ed_reading', 'baseline_year_1_arm_1')",-0.40684859976264914,Socioeconomic,
"('reshist_addr1_coi_se_emprat', 'baseline_year_1_arm_1')",-0.4049507938502329,Socioeconomic,
"('reshist_addr1_coi_c5_he_stt', 'baseline_year_1_arm_1')",-0.40491014657246166,Socioeconomic,
"('reshist_addr1_svi_veh_20142018', 'baseline_year_1_arm_1')",0.3893279304374447,Socioeconomic,
"('reshist_addr1_adi_home_o', 'baseline_year_1_arm_1')",-0.385995715343881,Socioeconomic,
"('tfmri_nb_r2_beh_c0bnf_nt', 'baseline_year_1_arm_1')",-0.38047836610650215,Neuropsychological Tests,
"('reshist_addr1_coi_zhe_hlthins', 'baseline_year_1_arm_1')",-0.3801040436402846,Socioeconomic,
"('tfmri_nb_r2_beh_c0bnf_rate', 'baseline_year_1_arm_1')",-0.37830534814173455,Neuropsychological Tests,
"('pgbi_p_ss_score', '1_year_follow_up_y_arm_1')",0.3754838338062881,Mental Health Summary,
"('tfmri_nb_all_beh_c0bnfl_rate', 'baseline_year_1_arm_1')",-0.3744464544819041,Neuropsychological Tests,
"('reshist_addr1_coi_zse_home', 'baseline_year_1_arm_1')",-0.37013760973320753,Socioeconomic,
"('reshist_addr1_coi_he_hlthins', 'baseline_year_1_arm_1')",-0.36593912434985243,Socioeconomic,
"('reshist_addr1_coi_he_vacancy', 'baseline_year_1_arm_1')",0.3617917366445008,Socioeconomic,
"('reshist_addr1_coi_se_home', 'baseline_year_1_arm_1')",-0.36150735713802373,Socioeconomic,
"('tfmri_nb_r2_beh_c0bnfl_rate', 'baseline_year_1_arm_1')",-0.3598880765244329,Neuropsychological Tests,
"('reshist_addr1_svi_emp_20142018', 'baseline_year_1_arm_1')",0.35770034335897244,Socioeconomic,
"('reshist_addr1_coi_zhe_vacancy', 'baseline_year_1_arm_1')",-0.35597400650760525,Socioeconomic,
"('tfmri_nb_all_beh_c0bpl_rate', 'baseline_year_1_arm_1')",-0.3515109785722005,Neuropsychological Tests,
"('reshist_addr1_coi_he_food', 'baseline_year_1_arm_1')",0.3450114263597938,Socioeconomic,
"('cbcl_scr_syn_social_r', 'baseline_year_1_arm_1')",0.3445484586345629,Behavior,
"('cbcl_scr_syn_social_t', 'baseline_year_1_arm_1')",0.3405848567076911,Behavior,
"('tfmri_nb_r2_beh_c0bpl_rate', 'baseline_year_1_arm_1')",-0.33662232474891335,Neuropsychological Tests,
"('cbcl_scr_syn_social_r', '1_year_follow_up_y_arm_1')",0.330863121319011,Behavior,
"('reshist_addr1_leadrisk', 'baseline_year_1_arm_1')",0.33048610950966134,Socioeconomic,
"('cbcl_scr_07_stress_t', 'baseline_year_1_arm_1')",0.32991013275364767,Behavior,
"('tfmri_nb_all_beh_c2bpfl_rate', 'baseline_year_1_arm_1')",-0.32936562575325085,Neuropsychological Tests,
"('tfmri_nb_all_beh_c2bngfl_rate', 'baseline_year_1_arm_1')",-0.3266341138519027,Neuropsychological Tests,
"('pgbi_p_ss_score', 'baseline_year_1_arm_1')",0.31804111338391605,Mental Health Summary,
"('tfmri_nb_all_beh_c2bpl_rate', 'baseline_year_1_arm_1')",-0.31389241274691215,Neuropsychological Tests,
"('reshist_addr1_coi_zhe_food', 'baseline_year_1_arm_1')",-0.3125395857308749,Socioeconomic,
"('reshist_addr1_opat_kfrpp_p100', 'baseline_year_1_arm_1')",-0.3101597489465315,Socioeconomic,
"('demo_prnt_marital_v2', 'baseline_year_1_arm_1')_1.0",-0.3050562959520459,Demographics,"Are you now married, widowed, divorced, separated, never married or living with a partner? ¿Usted actualmente está casado(a), viudo(a), divorciado(a), separado(a), nunca se ha casado(a) o vive con una pareja?"
"('pea_wiscv_trs', 'baseline_year_1_arm_1')",-0.303733529114804,Cognitive Capacity,
"('genetic_af_african', 'baseline_year_1_arm_1')",0.29970719310930716,Socioeconomic,
"('pea_wiscv_tss', 'baseline_year_1_arm_1')",-0.29894998733500827,Cognitive Capacity,
"('tfmri_nb_r2_beh_c0bnfl_nt', 'baseline_year_1_arm_1')_3.0",-0.2983303705776852,Neuropsychological Tests,Number of times individual 0 back with neutral face lure stimuli were answered correctly during run 2
"('tfmri_nb_r2_beh_c2bpl_rate', 'baseline_year_1_arm_1')",-0.296609363507221,Neuropsychological Tests,
"('demo_race_a_p___11', 'baseline_year_1_arm_1')_1.0",0.29641065068497185,Demographics,"What race do you consider the child to be? Please check all that apply. ¿De qué raza considera que es el/la niño(a)?  Seleccione 1 o más de estas categorías: (11, Black/African American Negra o afroamericana)"
"('demo_race_a_p___11', 'baseline_year_1_arm_1')_0.0",-0.2964106506849718,Demographics,"What race do you consider the child to be? Please check all that apply. ¿De qué raza considera que es el/la niño(a)?  Seleccione 1 o más de estas categorías: (11, Black/African American Negra o afroamericana)"
"('cbcl_scr_syn_rulebreak_r', '1_year_follow_up_y_arm_1')",0.2959200731961029,Behavior,
"('cbcl_scr_syn_rulebreak_t', '1_year_follow_up_y_arm_1')",0.2953982662401381,Behavior,
"('fam_roster_2c_v2', 'baseline_year_1_arm_1')_1.0",-0.29200069385438976,Demographics,"Person #2, relationship to you (Person #1): Persona #2, parentesco a usted (Persona #1):"
"('reshist_addr1_svi_th4_20142018', 'baseline_year_1_arm_1')",0.2850427502305142,Socioeconomic,
"('tfmri_nb_r2_beh_c0bpl_nt', 'baseline_year_1_arm_1')_3.0",-0.2846879679613308,Neuropsychological Tests,Number of times individual 0 back with place lure stimuli were answered correctly during run 2
"('reshist_addr1_adi_ntel', 'baseline_year_1_arm_1')",0.2801262691182179,Socioeconomic,
"('cbcl_q23_p', '1_year_follow_up_y_arm_1')_0.0",-0.27939886733688807,Behavior,Disobedient at school Desobedece en la escuela
"('gen_child_behav_1', 'baseline_year_1_arm_1')_0.0",-0.2776486289070746,Deep Phenotyping Assessments,"Has your child experienced periods of several days or more when, although he/she was feeling unusually happy and intensely energetic (clearly more than your child's usual self), he/she was also physically restless, unable to sit still, and had to keep moving or jumping from one activity to another? ¿Ha tenido su niño(a) períodos de varios días o más en los que, a pesar de sentirse inusualmente feliz y con un nivel intenso de energía (claramente más de lo normal para él/ella), también estaba físicamente inquieto(a), era incapaz de estarse quieto(a) y tenía que seguir moviéndose o brincando de una actividad a otra?"
"('tfmri_nb_r2_beh_c2bpfl_rate', 'baseline_year_1_arm_1')",-0.27741682854930444,Neuropsychological Tests,
"('demo_prnt_race_a_v2___11', 'baseline_year_1_arm_1')_1.0",0.27432205882008975,Demographics,"What race do you consider yourself to be? Please check all that apply. ¿De qué raza se considera usted? Seleccione 1 o más de estas categorías: (11, Black/African American Negra o afroamericana)"
