,description,Latent_Dim57
"('rel_ingroup_order', 'baseline_year_1_arm_1')_1.0",In-Group Order ID (twins and triplets in the same family and in the same group have different values),0.08077963418321654
"('rel_ingroup_order', 'baseline_year_1_arm_1')_2.0",In-Group Order ID (twins and triplets in the same family and in the same group have different values),-0.08077963418321657
"('reshist_addr1_coi_ed_hsgrad', 'baseline_year_1_arm_1')",,-0.1488058122462173
"('reshist_addr1_coi_zed_hsgrad', 'baseline_year_1_arm_1')",,-0.14892472399272158
"('reshist_addr1_d1a', 'baseline_year_1_arm_1')",,0.21262707802408762
"('reshist_addr1_no2_2016_min', 'baseline_year_1_arm_1')",,0.13984089242044156
"('reshist_addr1_pm25_2016_min', 'baseline_year_1_arm_1')",,0.20403433461036807
"('reshist_addr1_pm25_2016daysepa', 'baseline_year_1_arm_1')",,-0.08705646498215242
"('reshist_addr1_popdensity', 'baseline_year_1_arm_1')",,0.24187385910110373
"('reshist_addr1_proxrd', 'baseline_year_1_arm_1')",,-0.1494233759251163
"('reshist_addr1_svi_th3_20142018', 'baseline_year_1_arm_1')",,0.28313303252195604
"('reshist_state_mj_laws', 'baseline_year_1_arm_1')_2.0",Marijuana state law during the same year as the assessment,0.10906919847199427
"('reshist_state_mj_laws', 'baseline_year_1_arm_1')_3.0",Marijuana state law during the same year as the assessment,-0.1334229838407336
